"","Sample","Joint.Location","Pathotype","Seropositivity","GCTreatment","Protocol","Sex","Age"
"HES2",0.0858464322275432,0.00156310637037249,0.0186662509077617,0.00454813449733971,0.00164466337813085,0.000341201785680756,0.0133725918966321,0.000587303031740483
"ESPN",0.132395046469047,0.00970402373166035,0.0240294449493361,0.00874698750010783,0.000120237173928395,4.69890574006371e-05,0.00538436397267139,0.00115566729448346
"TNFRSF25",2.20280446973776,0.227448975015321,0.201321268110954,0.225584697666026,0.0917998692442801,0.0348961810611281,0.0202346594140645,0.0472069720094948
"PLEKHG5",1.47844333853206,0.573909424119035,0.0467119149834883,0.031291930056554,0.0491039136282456,0.20238874548848,0.000592966517143356,0.148211308210844
"NOL9",0.615092612692236,0.015850372146331,0.182312124438122,0.0101053643121851,0.0792354898588643,0.00768393005036172,0.0365958750832673,0.0439827894495037
"TAS1R1",0.668271283330069,0.0295101338783965,0.0769874374045298,0.00146441504063066,0.0324777002522314,0.00213134318902686,0.48030290379969,0.00564108664279361
"ZBTB48",0.204380727789832,0.109214904720423,0.0673066272440459,0.0341906041365636,0.0245091706911893,0.0111678029656503,0.0177644667041621,0.0243364334390539
"KLHL21",0.607726557487698,0.12564922934678,0.137155527394206,0.00611836701849278,0.0105203434426993,0.00481901970943444,0.193953582954232,0.00042025619930719
"PHF13",0.672090482127763,0.245647403071092,0.0294753298696993,0.0261976822191756,0.00114211659664187,0.0754493027764314,0.0225849264256728,0.0145813168663356
"THAP3",0.303340930200058,0.108203384835637,0.00596111229719254,0.0136157717505636,1.95943641201346e-05,0.00652228005192379,0.0832493645895327,0.00110542728350982
"DNAJC11",0.971548292590063,0.0155539935974169,0.251512373331253,0.17230102892869,0.136703354672252,0.072145332023521,0.605828730608282,0.0856554519017561
"LINC01672",0.0157247799500659,0.00187394727729773,0.000361466718346026,0.00210012592740672,0.000516453948329332,0.00318441053883678,1.61367216255925e-06,2.73199295075521e-05
"AL591163.1",0.129730638248848,0.0256238047557034,0.00588095438820435,0.000329102732488096,0.0145793939009264,0.0146355266710807,0.00187533523052785,0.000217561477011685
"CAMTA1-DT",0.303224839419092,0.130207436444907,0.0502886918950507,0.00190708370632064,0.0149207891761094,0.00114114823537292,0.0113464551829034,0.0596023971552673
"CAMTA1",0.793581780421082,0.000884420205793379,0.243839478816121,0.0561530934035659,0.00749310759428079,0.0630787786430997,0.10164530106388,0.0130437513243264
"AL512330.1",0.0212382417032142,0.00287518112803697,0.000920124165060265,0.0033338444451525,0.00272846557886064,1.35204366591424e-06,0.00438643985737341,0.000146601694117621
"CAMTA1-IT1",0.034669058953829,0.00573520387867621,0.000761857873421423,8.67014929406551e-05,8.22849986592544e-05,0.00419067687361663,4.16993483631778e-05,4.31090037111836e-05
"Z97987.1",0.0482117677525373,0.00581399299282026,0.00184886579843724,0.00275067234711823,0.00187548997830911,0.0137970632936302,0.018934390491343,0.00283722451677182
"AL365194.1",0.171856092717837,0.0163007566627349,0.0191735393614834,0.00677157067835443,0.0136235605674662,0.00313676063904422,0.00437967288343666,0.000545604502222297
"AL359881.2",0.0188976662000462,0.00196899861375499,0.00258485764295102,0.000100028868355029,0.00045266016520662,7.5386494957641e-05,0.000152558683752524,0.00244394712131113
"AL359881.1",0.0181378983177605,0.00233829426952159,0.00149587509179483,0.000134054389400173,0.000471378752520124,7.01471591924019e-07,4.54367174995696e-06,0.000138894416112922
"VAMP3",2.66854890718543,0.336179179674279,0.126018077969214,0.243809373063042,0.736020309801144,0.0307987298047596,0.509052483362582,0.896274415418774
